"CD_RES_SECTOR","INDICATOR","MEASURE"
"11022A091","score",6.13629294738675
"11022A10-","score",6.58825642703222
"11022A11-","score",5.55850628687516
"11022A120","score",5.76674319857782
"11022A132","score",1.81047792013832
"11022A181","score",3.89552210369823
"11022A19-","score",8.10549772344385
"11022A201","score",10.1972514347642
"11022A21-","score",6.30328334846706
"11022A22-","score",7.23679527071783
"11022A232","score",5.6821444860386
"11022A28-","score",3.2264906820284
"11022A2AA","score",7.79569478335077
"11022A2MA","score",7.70856490707611
"11022A30-","score",12.7797303725123
"11022A31-","score",12.2576598409062
"11022A322","score",4.95774249925123
"11022A382","score",11.2409944257413
"11022A39-","score",9.52727919545486
"11022A401","score",16.0935272640056
"11022A412","score",6.93445194492396
"11022A423","score",8.10825713321691
"11022A48-","score",15.3250951221007
"11022A49-","score",14.6736328526587
"11022A50-","score",11.2641451966372
"11022A582","score",5.64973516892784
"11022A682","score",4.38951227881602
"11022A692","score",6.35854514568569
"11023A00-","score",11.4130516244947
"11023A01-","score",5.32693262433358
"11023A02-","score",5.79955013115697
"11023A03-","score",7.87091398946671
"11023A04-","score",9.68900059513564
"11023A050","score",10.2696041977901
"11023A062","score",5.06571279111187
"11023A08-","score",12.7840499628357
"11023A091","score",7.81680959132717
"11023A10-","score",10.3583293851611
"11023A11-","score",12.6890294870372
"11023A122","score",2.50436675927903
"11023A133","score",10.0705859117431
"11023A191","score",8.54527958702512
"11023A200","score",8.43844719592165
"11023A212","score",11.9440079175677
"11023A280","score",8.10814301390376
"11023A291","score",13.6351946480692
"11023B30-","score",5.62380449997972
"11023B31-","score",10.2661308979843
"11023B32-","score",5.12356054293878
"11023B330","score",9.30326222562092
"11023B391","score",14.4237557991949
"11023B40-","score",6.85962664297446
"11023B49-","score",3.00129066828592
"11024A00-","score",17.2986729813131
"11024A01-","score",6.15221633324006
"11024A02-","score",5.72079185946232
"11024A03-","score",13.8090260450273
"11024A04-","score",5.52040613208085
"11024A05-","score",4.4131886490333
"11024A072","score",8.21083449298728
"11024A09-","score",5.44366182520335
"11024A10-","score",8.10800038888687
"11024A111","score",7.05133597042103
"11024A132","score",6.3182634345521
"11024A191","score",9.35212109165443
"11024A1MA","score",3.86445747982575
"11024A1PA","score",7.84265759617039
"11024A200","score",7.9819743901263
"11024A210","score",5.21949673918356
"11024A220","score",3.97107663141782
"11024A280","score",3.99001707659931
"11024A291","score",8.65892012828057
"11024A30-","score",6.92589577927689
"11024A412","score",3.88483384086724
"11024A423","score",4.06491712060549
"11024A434","score",4.52765782315288
"11024B00-","score",6.85284386362543
"11024B012","score",7.06497120092686
"11024B08-","score",8.15193899648048
"11024B091","score",3.46524240804747
"11024B190","score",8.58275345381858
"11025A000","score",5.72229363469936
"11025A01-","score",7.9980206170355
"11025A02-","score",3.13633050372305
"11025A042","score",1.66992930794404
"11025A053","score",2.02306631824541
"11025A08-","score",1.28525918480296
"11025A091","score",7.02184754273357
"11025A184","score",2.59422002690623
"11025A19-","score",3.16094027670109
