"CD_RES_SECTOR","score","rank","deciles"
"11002T30-",27.2084210823908,3909,3
"11002T39-",35.7720979896438,2128,2
"11002T412",15.8942181047182,8835,5
"11002T42-",20.6943459510706,6189,4
"11002U00-",23.7253367937191,5017,3
"11002U01-",26.6030423686638,4084,3
"11002U02-",20.5001050728351,6268,4
"11002U03-",14.9923840183735,9436,6
"11002U09-",26.3021292962242,4158,3
"11002U10-",23.9590427039082,4918,3
"11002U11-",20.1307310934683,6413,4
"11002U20-",29.1751008036042,3425,2
"11002U21-",39.6698507486803,1608,1
"11002U22-",46.1883857504371,937,1
"11002U30-",15.2322981534739,9260,5
"11002U31-",16.0506221397319,8736,5
"11002U32-",12.9073823278488,11096,6
"11002U33-",17.6045666941391,7762,5
"11002U40-",8.50958527611136,15009,8
"11002U41-",18.9707913679032,7005,4
"11002U43-",12.7296323993413,11247,6
"11002U47-",7.59649388677715,15863,9
"11002U57-",16.2346523872451,8609,5
"11002U5MA",21.5913455418888,5795,4
"11002U60-",24.1099738336095,4871,3
"11002U69-",9.56159838643813,14034,8
"11002V00-",30.1052039353672,3225,2
"11002V01-",30.4538511982221,3149,2
"11002V02-",37.6867320400862,1855,1
"11002V03-",30.7209492775113,3090,2
"11002V04-",22.0964638080538,5585,3
"11002V05-",32.4087748050182,2741,2
"11002V07-",18.2497975523527,7390,4
"11002V099",35.3136252779765,2205,2
"11002V10-",39.1611285874144,1660,1
"11002V11-",28.7818957496445,3510,2
"11002V12-",45.0854281167146,1024,1
"11002V13-",36.8683662875967,1961,2
"11002V14-",25.9355085713021,4290,3
"11002V19-",22.8153202323877,5326,3
"11002V20-",22.6810080404572,5377,3
"11002V21-",42.1215418072926,1319,1
"11002V22-",19.2811938759373,6843,4
"11002V23-",10.6809345930297,12992,7
"11002V301",38.4914156901734,1748,1
"11002V312",17.6337867922435,7742,5
"11002V322",8.40627112988324,15106,9
"11002V373",14.4572549684326,9861,6
"11004A00-",7.80052371181974,15660,9
"11004A01-",2.6581063210846,18599,10
"11004A02-",2.67521059780116,18598,10
"11004A03-",7.47836939786667,15965,9
"11004A081",8.34148215941822,15162,9
"11004A09-",6.28369665625038,16870,9
"11004A10-",3.92930877268897,18241,10
"11004A18-",11.8161815184662,12001,7
"11004A19-",4.86417225061269,17791,10
"11004A21-",8.84009528112354,14709,8
"11004A220",7.76034799658653,15699,9
"11004A23-",7.25396860601529,16132,9
"11004A242",4.42831551633169,18021,10
"11004A29-",15.1352268418155,9331,5
"11004B000",4.66708886224425,17902,10
"11004B010",2.28986976880604,18660,10
"11004B022",1.8194453295771,18714,10
"11004B081",3.1310555306032,18489,10
"11004B090",8.99042108793945,14566,8
"11004B19-",6.92457908887348,16382,9
"11005A00-",29.8157114396289,3285,2
"11005A01-",32.046170230813,2803,2
"11005A02-",25.3946381905485,4463,3
"11005A03-",33.8832260454035,2439,2
"11005A04-",39.0404260856169,1675,1
"11005A051",10.3742629912031,13267,8
"11005A072",29.4354102637262,3367,2
"11005A093",41.7031667579382,1377,1
"11005A10-",24.3852137935822,4776,3
"11005A184",20.7793378556622,6142,4
"11005A191",16.7871891058911,8248,5
"11005A20-",34.4281896578585,2345,2
"11005A211",18.3423403862472,7352,4
"11005A22-",11.0712894432701,12626,7
"11005A232",31.7324626429011,2860,2
"11005A242",9.8584686907727,13776,8
"11005A25-",6.48438446053379,16717,9
"11005A30-",34.5835700461129,2326,2
"11007A00-",14.4020977365239,9900,6
"11007A01-",14.4485023056372,9873,6
"11007A020",5.17961722436944,17643,10
"11007A03-",17.44641484201,7858,5
"11007A04-",18.9885999666557,6998,4
"11007A080",8.99628996156392,14556,8
"11007A09-",14.7094846172147,9649,6
"11008A00-",14.1813243326327,10060,6
"11008A01-",19.4906388590095,6716,4
"11008A020",10.4098932719001,13234,8
"11008A03-",7.82612469124977,15642,9
"11008A04-",10.4347892309028,13213,8
"11008A091",5.27196518633584,17587,10
"11008A0AA",6.35290956236776,16817,9
"11008A0BJ",14.3169854315715,9960,6
"11008A0PA",4.35082958573774,18057,10
"11008A10-",11.9967701845612,11838,7
"11008A11-",7.01033438712601,16316,9
"11008A12-",5.53012599162467,17400,10
"11008A19-",16.3516641523452,8529,5
"11008A20-",7.77194092174768,15687,9
"11008A21-",7.59984107567529,15856,9
"11008A22-",11.2431524006744,12487,7
"11008A283",17.1465150421155,8038,5
"11008A30-",11.3980558013131,12361,7
"11008A31-",9.75944098708918,13857,8
"11008A32-",12.3472360820855,11542,7
"11008A332",9.6873203988232,13937,8
"11008A381",8.63080838406904,14889,8
"11008A3MB",7.92234158267063,15545,9
"11008A3PB",15.2529315524146,9240,5
"11008A40-",6.90991179022833,16395,9
"11008A49-",9.13103542667875,14423,8
"11008A500",5.93273168348938,17114,10
"11008A510",12.4380959474203,11484,7
"11008A59-",15.2400842610724,9254,5
"11009A000",14.3866902890304,9915,6
"11009A01-",4.97842183471738,17754,10
"11009A02-",16.14719466145,8661,5
"11009A03-",10.2255671071216,13414,8
"11009A042",5.58871633710021,17368,10
"11009A0AD",20.0719079756435,6442,4
"11009A0MC",5.96410864806916,17095,10
"11009A0PD",9.532245393097,14062,8
"11009A0QC",13.2881629818368,10807,6
"11009A20-",5.42257988977607,17464,10
"11009A21-",8.67453764405986,14839,8
"11009A222",4.70177919313693,17884,10
"11009A29-",8.29405522841574,15207,9
"11009A30-",6.1214950244926,16980,10
"11009A38-",3.23281179461819,18460,10
"11009A3AB",8.30752468471134,15192,9
"11009A3PB",8.29593731135118,15206,9
"11009A49-",14.7198145999466,9645,6
"11009A5AA",14.073328668367,10149,6
"11009A5PA",4.06141973510399,18183,10
"11009B00-",13.5718935786004,10573,6
"11009B01-",4.71019025686222,17879,10
"11009B02-",12.4954047154449,11440,7
"11009B032",4.23741781655393,18103,10
"11009B08-",12.3243204289321,11562,7
"11009B091",7.11076492352739,16246,9
"11009B18-",6.22127950268678,16912,10
"11009B19-",9.87823917017975,13758,8
"11009B20-",13.4196428582077,10689,6
"11009B29-",12.2222356502482,11646,7
"11009B2MA",6.68727481618505,16561,9
"11009B2PA",16.4287478146118,8478,5
"11009C00-",6.02772344181112,17058,10
"11009C01-",4.99145892170474,17741,10
"11009C020",5.60373905127193,17357,10
"11009C03-",9.93695594881044,13706,8
"11009C08-",19.1303704226544,6919,4
"11009C090",6.80296828807229,16474,9
"11013A00-",9.21092469495794,14359,8
"11013A01-",5.0648148065513,17709,10
"11013A02-",5.17508758621237,17650,10
"11013A03-",1.98631718977021,18697,10
"11013A040",4.34370966819802,18062,10
"11013A050",8.48126698281392,15035,9
"11013A090",3.28576537314336,18447,10
"11013A101",3.01569717659751,18517,10
"11013A11-",5.19972704771514,17628,10
"11013A12-",5.30049560272723,17559,10
"11013A132",3.27946370931886,18449,10
"11013A142",3.6572538607924,18328,10
"11013A181",4.32120951969423,18069,10
"11013A19-",13.2410419611224,10842,6
"11013A20-",10.0809391085504,13565,8
"11013A21-",9.71081084499007,13905,8
"11016A000",11.7994014314787,12014,7
"11016A010",16.5961211176265,8359,5
"11016A021",23.902203344067,4951,3
"11016A042",15.7315567559713,8945,5
"11016A052",6.37569989391164,16798,9
"11016A091",7.61783630277995,15842,9
"11016A101",8.72039611568652,14797,8
"11016A112",6.59537436140254,16628,9
"11016A180",7.9109781921899,15559,9
"11016A191",12.7685794098019,11210,6
"11016A1AJ",19.7405962704176,6588,4
"11016A200",7.52644815936093,15926,9
"11016A262",19.4604778546518,6738,4
"11016A273",18.4529794295254,7302,4
"11016A281",16.2137774617449,8625,5
"11016A291",13.2502975054143,10835,6
"11016A300",12.6646142473796,11304,7
"11016A391",8.80281126298614,14737,8
"11016A3AJ",15.7783873595527,8914,5
"11016A401",18.6726997803299,7173,4
"11016A412",21.0859782661482,6003,4
"11016A501",6.50144379296385,16702,9
"11016A592",7.72743229035233,15730,9
"11016A60-",12.1777661765668,11687,7
"11016A691",15.3521220302204,9166,5
"11018A000",13.9538333359291,10248,6
"11018A010",6.6416928327822,16600,9
"11018A021",21.6791488188965,5761,4
"11018A030",8.02556751267085,15445,9
"11018A042",11.0949213908331,12594,7
"11018A054",13.7954771978668,10375,6
"11018A090",7.24892596170212,16138,9
"11018A101",28.5027852703663,3575,2
"11018A111",25.0286369149179,4566,3
"11018A122",24.4171533240309,4761,3
"11018A132",9.31863270811023,14259,8
"11018A143",15.3399071732284,9174,5
"11018A170",28.7071627323221,3532,2
"11018A1MJ",12.9946608099351,11032,6
"11021A00-",5.88564460219158,17145,10
