"CD_RES_SECTOR","INDICATOR","MEASURE"
"11002Q021","score",51.3529844014526
"11002Q03-","score",16.4420401028238
"11002Q04-","score",16.7459614244163
"11002Q052","score",46.506339873622
"11002Q072","score",43.825271275777
"11002Q091","score",13.8221842485545
"11002Q10-","score",21.1958463219851
"11002Q11-","score",9.37727930733707
"11002Q12-","score",11.1042273862206
"11002Q13-","score",17.8618697690363
"11002Q14-","score",15.8203300833757
"11002Q17-","score",25.6549458524659
"11002Q201","score",22.1187922408886
"11002Q212","score",11.3414907843288
"11002Q222","score",5.32165106958936
"11002Q233","score",8.77285720417389
"11002Q242","score",7.44032247575737
"11002Q2AA","score",3.99714848746615
"11002Q30-","score",11.5219202325985
"11002Q39-","score",12.2181483879056
"11002R00-","score",34.9749640168594
"11002R01-","score",30.3342822805251
"11002R02-","score",39.381074273534
"11002R03-","score",30.7802212461158
"11002R04-","score",23.8614541535595
"11002R05-","score",18.8423712655006
"11002R101","score",43.5555418919877
"11002R110","score",23.4134376482981
"11002R12-","score",38.9085990049723
"11002R13-","score",41.1656551641201
"11002R180","score",25.5495879547718
"11002R19-","score",30.0918874256694
"11002R20-","score",20.3760965326176
"11002R21-","score",21.6841135925277
"11002R22-","score",17.8164390203664
"11002R23-","score",13.8690897929488
"11002R24-","score",22.6921564941382
"11002R28-","score",43.8768335624482
"11002R30-","score",37.7444388619965
"11002R31-","score",28.3305582538079
"11002R32-","score",36.6964053551001
"11002R33-","score",19.1634382795379
"11002R34-","score",41.0718371455871
"11002R35-","score",23.7908728952845
"11002R39-","score",22.4119228520429
"11002R401","score",17.3310920467417
"11002R41-","score",8.13267213492838
"11002R42-","score",12.1730712858939
"11002R43-","score",15.0337109796655
"11002R44-","score",18.339223007233
"11002R47-","score",17.3248809360962
"11002R482","score",15.1442700587125
"11002S00-","score",47.2607144514277
"11002S01-","score",57.1777293631713
"11002S02-","score",49.7780121633529
"11002S03-","score",55.105898499999
"11002S04-","score",45.098705215887
"11002S05-","score",53.7855991970712
"11002S10-","score",31.7198720130511
"11002S11-","score",16.9507383447542
